Domain,#,Kingdom,#,Phylum,#,Class,#,Order,#,Family,#
,,,,Nimaviridae,1,Methylobacteriaceae,3,Woeseiales,1,Sulfolobus,1
,,,,Cocadviroid,1,Silvanigrellaceae,3,Limnochordales,1,Picrophilus,1
,,,,Bracoviriform,1,Sporomusaceae,3,Euzebyales,1,Nitrososphaera,1
,,,,Betasatellite,1,Streptosporangiaceae,3,Candidatus Desulfofervidales,1,Thermoplasma,1
,,,,Plasmavirus,1,Emcibacteraceae,3,Lentisphaerales,1,Pyrococcus,1
,,,,Apscaviroid,1,Desulfobacteraceae,3,Egicoccales,1,Hyperthermus,1
,,,,Pelamoviroid,1,Syntrophomonadaceae,3,Egibacterales,1,Pyrolobus,1
,,,,Betafusellovirus,1,Nevskiaceae,3,Xiphinematobacter,1,Thermosphaera,1
,,,,Clavavirus,1,Halanaerobiaceae,3,Candidatus Thioglobus,1,Ferroglobus,1
,,,,,,Phycisphaeraceae,3,Geminicoccales,1,Acidianus,1
,,,,,,Coxiellaceae,3,Candidatus Brocadiales,1,Aeropyrum,1
,,,,,,Veillonellaceae,3,Candidatus Promineifilales,1,Methanocellaceae,1
,,,,,,Sulfuricellaceae,3,Immundisolibacterales,1,Fervidicoccus,1
,,,,,,Cardiobacteriaceae,3,Dehalogenimonas,1,Caldivirga,1
,,,,,,Sphingosinicellaceae,3,Thermodesulfobiales,1,Methanocorpusculaceae,1
,,,,,,Iamiaceae,3,Ezakiella,1,Archaeoglobus,1
,,,,,,Eubacteriaceae,3,Vicinamibacterales,1,Palaeococcus,1
,,,,,,Pseudobdellovibrionaceae,3,Baumannia,1,Ferroplasma,1
,,,,,,Selenomonadaceae,3,Calditrichales,1,Austwickia,1
,,,,,,Ustilaginomycotina,3,Sporichthyales,1,Occallatibacter,1
,,,,,,Aconoidasida,3,Mariprofundales,1,Fimbriimonas,1
,,,,,,Magsaviricetes,3,Holophagales,1,Marivirga,1
,,,,,,Huolimaviricetes,3,Thiohalomonadales,1,Defluviitoga,1
,,,,,,Laserviricetes,3,Nardonella,1,Chloroherpeton,1
,,,,,,Nitrososphaeraceae,2,Monoglobales,1,Saprospira,1
,,,,,,Methanomassiliicoccaceae,2,Jatrophihabitantales,1,Catenibacterium,1
,,,,,,Thermofilaceae,2,Sphaerobacterales,1,Aequorivita,1
,,,,,,Saprospiraceae,2,Candidatus Nanosynbacterales,1,Weeksella,1
,,,,,,Sedimenticolaceae,2,Salinisphaerales,1,Capnocytophaga,1
,,,,,,Sphaerochaetaceae,2,Capsulimonadales,1,Stanieria,1
,,,,,,Scytonemataceae,2,Gallaecimonas,1,Desulfoscipio,1
,,,,,,Geovibrionaceae,2,Candidatus Kinetoplastibacterium,1,Endozoicomonas,1
,,,,,,Kosmotogaceae,2,Desulfomonilales,1,Neptunomonas,1
,,,,,,Vallitaleaceae,2,Ktedonobacterales,1,Otariodibacter,1
,,,,,,Syntrophobacteraceae,2,Casimicrobiaceae,1,Thioalkalivibrio,1
,,,,,,Nitrosomonadaceae,2,Candidatus Uabimicrobiales,1,Saccharothrix,1
,,,,,,Tepidimicrobiaceae,2,Microvenatoraceae,1,Rhodococcus,1
,,,,,,Thalassospiraceae,2,Tepidiformales,1,Cyclobacterium,1
,,,,,,Borreliaceae,2,Kangiellales,1,Moranella,1
,,,,,,Nautiliaceae,2,Candidatus Azoamicaceae,1,Allochromatium,1
,,,,,,Filifactoraceae,2,Tichowtungiales,1,Limosilactobacillus,1
,,,,,,Sulfurimonadaceae,2,Phototrophicales,1,Thermochromatium,1
,,,,,,Barnesiellaceae,2,Candidatus Absconditicoccaceae,1,Ralstonia,1
,,,,,,Moorellaceae,2,Reidiella,1,Halorhodospira,1
,,,,,,Treponemataceae,2,Koleobacterales,1,Cobetia,1
,,,,,,Tissierellaceae,2,Candidatus Izemoplasmatales,1,Methylibium,1
,,,,,,Desulfuromonadaceae,2,Acidothermales,1,Morococcus,1
,,,,,,Listeriaceae,2,Tepidisphaerales,1,Runella,1
,,,,,,Leptospiraceae,2,Sedimentibacter,1,Rhodobacter,1
,,,,,,Natronincolaceae,2,Acanthopleuribacterales,1,Cereibacter,1
,,,,,,Gemmatimonadaceae,2,Brevinematales,1,Frankia,1
,,,,,,Ornithinimicrobiaceae,2,Miltoncostaeales,1,Rhodomicrobium,1
,,,,,,Thermotogaceae,2,Atribacterales,1,Mycolicibacillus,1
,,,,,,Nitrospiraceae,2,Candidatus Sulfidibacterium,1,Gullanella,1
,,,,,,Granulosicoccaceae,2,Oculatellales,1,Companilactobacillus,1
,,,,,,Sedimentisphaeraceae,2,Coleofasciculales,1,Fuscovulum,1
,,,,,,Candidatus Nanopelagicaceae,2,Candidatus Comchoanobacterales,1,Rhodopseudomonas,1
,,,,,,Thiobacillaceae,2,Sneathiellales,1,Thiolapillus,1
,,,,,,Crocinitomicaceae,2,Thermoleophilales,1,Opitutus,1
,,,,,,Shewanellaceae,2,Hydrogenophilales,1,Blastochloris,1
,,,,,,Thermomonosporaceae,2,Limisphaerales,1,Schneideria,1
,,,,,,Gordoniaceae,2,Nannocystales,1,Lonsdalea,1
,,,,,,Sulfurovaceae,2,Minwuiales,1,Pararhodospirillum,1
,,,,,,Odoribacteraceae,2,Catenulisporales,1,Persicobacter,1
,,,,,,Entomoplasmataceae,2,Deinococcales,1,Anabaenopsis,1
,,,,,,Beutenbergiaceae,2,Syntrophales,1,Bisgaardia,1
